tdt_file,med_file,mouse,sex,region,virus,diet,date,session,phase,box,squad,L_nutrient,L_flavor,L_number_licks,R_nutrient,R_flavor,R_number_licks,total_licks,left_cue,right_cue,signal_uv,signal_blue,ttl_sipper_left,ttl_lick_left,ttl_sipper_right,ttl_lick_right,endcol
HistaLight-240224-122425,2024-02-24_12h56m_Subject HL204.txt,HL204,male,PVH,hislight,chow,2/24/2024,4,food_restricted_continuous_access,7,1,,,,ensure,,1551,1551,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240224-130245,2024-02-24_13h41m_Subject HL205.txt,HL205,male,PVH,hislight,chow,2/24/2024,4,food_restricted_continuous_access,5,2,,,,ensure,,1267,1267,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240224-130245,2024-02-24_13h41m_Subject HL206.txt,HL206,male,PVH,hislight,chow,2/24/2024,4,food_restricted_continuous_access,6,2,,,,ensure,,1573,1573,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240224-130245,2024-02-24_13h41m_Subject HL207.txt,HL207,male,PVH,hislight,chow,2/24/2024,4,food_restricted_continuous_access,7,2,,,,ensure,,1576,1576,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240224-130245,2024-02-24_13h41m_Subject HL208.txt,HL208,male,PVH,hislight,chow,2/24/2024,4,food_restricted_continuous_access,8,2,,,,ensure,,1442,1442,,,_4058,_4658,_819_,_820_,_817_,_818_,0
HistaLight-240224-134227,2024-02-24_14h21m_Subject HL209.txt,HL209,male,PVH,hislight,chow,2/24/2024,4,food_restricted_continuous_access,5,3,,,,ensure,,1450,1450,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240224-134227,2024-02-24_14h21m_Subject HL210.txt,HL210,male,PVH,hislight,chow,2/24/2024,4,food_restricted_continuous_access,6,3,,,,ensure,,1076,1076,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240224-134227,2024-02-24_14h21m_Subject HL211.txt,HL211,male,PVH,hislight,chow,2/24/2024,4,food_restricted_continuous_access,7,3,,,,ensure,,1225,1225,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240224-134227,2024-02-24_14h21m_Subject HL212.txt,HL212,male,PVH,hislight,chow,2/24/2024,4,food_restricted_continuous_access,8,3,,,,ensure,,1484,1484,,,_4058,_4658,_819_,_820_,_817_,_818_,0
HistaLight-240225-122459,2024-02-25_13h03m_Subject HL202.txt,HL202,male,PVH,hislight,chow,2/25/2024,5,food_restricted_continuous_access,5,1,,,,ensure,,1761,1761,,,_4055,_4655,_519_,_520_,_517_,_518_,0
